Test: [0/167]	Time 36.330 (36.330)	Loss 174.2544 (174.2544)	Acc@1 0.000 (0.000)	Acc@5 0.000 (0.000)
 * Acc@1 0.098 Acc@5 0.498
Epoch: [0][0/4271]	Time 46.236 (46.236)	Data 36.567 (36.567)	Loss 9.3022 (9.3022)	Entropy Loss 9.2817 (9.2817)	KLCD_Loss 0.0204 (0.0204)	Learning Rate 0.12000000	Acc@1 0.000 (0.000)	Acc@5 2.000 (2.000)
Epoch: [0][200/4271]	Time 1.583 (1.762)	Data 0.000 (0.182)	Loss 7.0831 (7.3319)	Entropy Loss 6.9824 (7.2447)	KLCD_Loss 0.1007 (0.0872)	Learning Rate 0.11999995	Acc@1 0.333 (0.068)	Acc@5 0.333 (0.471)
Epoch: [0][400/4271]	Time 1.522 (1.647)	Data 0.000 (0.091)	Loss 7.0058 (7.1915)	Entropy Loss 6.9105 (7.0989)	KLCD_Loss 0.0953 (0.0926)	Learning Rate 0.11999982	Acc@1 0.000 (0.095)	Acc@5 0.667 (0.495)
Epoch: [0][600/4271]	Time 1.534 (1.607)	Data 0.000 (0.061)	Loss 6.9787 (7.1278)	Entropy Loss 6.8886 (7.0352)	KLCD_Loss 0.0900 (0.0926)	Learning Rate 0.11999959	Acc@1 0.667 (0.105)	Acc@5 1.667 (0.533)
Epoch: [0][800/4271]	Time 1.530 (1.589)	Data 0.000 (0.046)	Loss 7.0019 (7.0847)	Entropy Loss 6.9168 (6.9933)	KLCD_Loss 0.0851 (0.0913)	Learning Rate 0.11999928	Acc@1 0.667 (0.133)	Acc@5 2.667 (0.645)
Epoch: [0][1000/4271]	Time 1.584 (1.578)	Data 0.000 (0.037)	Loss 6.8994 (7.0449)	Entropy Loss 6.8190 (6.9553)	KLCD_Loss 0.0804 (0.0896)	Learning Rate 0.11999887	Acc@1 0.000 (0.157)	Acc@5 0.000 (0.782)
Epoch: [0][1200/4271]	Time 1.522 (1.570)	Data 0.000 (0.031)	Loss 6.8803 (7.0060)	Entropy Loss 6.8043 (6.9184)	KLCD_Loss 0.0759 (0.0877)	Learning Rate 0.11999838	Acc@1 0.000 (0.188)	Acc@5 1.667 (0.921)
Epoch: [0][1400/4271]	Time 1.513 (1.564)	Data 0.000 (0.026)	Loss 6.7764 (6.9703)	Entropy Loss 6.7046 (6.8846)	KLCD_Loss 0.0718 (0.0857)	Learning Rate 0.11999779	Acc@1 0.667 (0.231)	Acc@5 3.000 (1.080)
Epoch: [0][1600/4271]	Time 1.599 (1.559)	Data 0.000 (0.023)	Loss 6.6912 (6.9344)	Entropy Loss 6.6232 (6.8506)	KLCD_Loss 0.0680 (0.0837)	Learning Rate 0.11999711	Acc@1 1.000 (0.281)	Acc@5 3.667 (1.280)
Epoch: [0][1800/4271]	Time 1.504 (1.555)	Data 0.000 (0.020)	Loss 6.5079 (6.8892)	Entropy Loss 6.4434 (6.8074)	KLCD_Loss 0.0646 (0.0818)	Learning Rate 0.11999635	Acc@1 1.000 (0.355)	Acc@5 4.000 (1.560)
Epoch: [0][2000/4271]	Time 1.520 (1.553)	Data 0.000 (0.018)	Loss 6.2559 (6.8334)	Entropy Loss 6.1943 (6.7535)	KLCD_Loss 0.0616 (0.0799)	Learning Rate 0.11999549	Acc@1 1.333 (0.461)	Acc@5 6.333 (1.972)
Epoch: [0][2200/4271]	Time 1.585 (1.551)	Data 0.000 (0.017)	Loss 6.0036 (6.7666)	Entropy Loss 5.9444 (6.6885)	KLCD_Loss 0.0591 (0.0781)	Learning Rate 0.11999454	Acc@1 2.000 (0.637)	Acc@5 7.333 (2.535)
Epoch: [0][2400/4271]	Time 1.516 (1.549)	Data 0.000 (0.015)	Loss 5.6710 (6.6896)	Entropy Loss 5.6138 (6.6132)	KLCD_Loss 0.0572 (0.0765)	Learning Rate 0.11999351	Acc@1 4.333 (0.887)	Acc@5 14.333 (3.294)
